Ticker
CHD
IBM
NEE
CAT
EXPD
O
ALB
ESS
BRO
PBCT
WST
CB
AOS
LIN
ECL
ROP
GD
CVX
ATO
CAH
TROW
MKC
BF.B
CTAS
AMCR
APD
AFL
XOM
BEN
SHW
MDT
CLX
MCD
PNR
WBA
ADP
ADM
ED
LEG
SPGI
WMT
NUE
VFC
PEP
KMB
ABT
BDX
PPG
TGT
GWW
ABBV
ITW
SYY
SWK
FRT
HRL
LOW
JNJ
CL
KO
CINF
MMM
PG
GPC
EMR
DOV
